Observation_ID,Date,Year,Time,Behavior,Sender_ID,Sender_plumage_category,Sender_sex,Sender_age,Sender_age_exact,Receiver_ID,Receiver_sex,Receiver_age,Receiver_age_exact,Social_mate,Prev_breeding_group
OPP197,2016-07-20,2016,8H 28M 0S,Chasing,AA0,Unornamented,M,1,exact,JB2,F,1,exact,0,0
OPP198,2016-07-20,2016,8H 29M 0S,Chasing,AH8,Unornamented,M,1,exact,AA0,M,1,exact,0,0
OPP199,2016-07-20,2016,8H 30M 0S,Allopreening,AH8,Unornamented,M,1,exact,BI9,F,3,min,0,0
OPP200,2016-07-20,2016,8H 31M 0S,Allopreening,BI9,Unornamented,F,3,min,JB2,F,1,exact,0,0
OPP201,2016-07-20,2016,8H 31M 0S,Allopreening,AH8,Unornamented,M,1,exact,JB2,F,1,exact,0,1
OPP202,2016-07-20,2016,9H 10M 0S,Allopreening,JF3,Unornamented,F,2,min,II6,M,2,exact,1,0
OPP203,2016-07-21,2016,7H 19M 0S,Allopreening,FB6,Unornamented,M,2,exact,GD1,M,2,min,0,0
OPP204,2016-06-15,2016,9H 15M 0S,Allopreening,GE6,Unornamented,M,2,exact,EC3,F,2,exact,NA,1
OPP205,2016-05-25,2016,7H 33M 0S,Allopreening,ID8,Unornamented,F,2,exact,EF8,M,4,exact,NA,0
OPP206,2016-06-03,2016,9H 20M 0S,Allopreening,IC7,Unornamented,M,4,exact,DE5,F,5,min,1,1
OPP207,2016-06-10,2016,7H 57M 0S,Allopreening,GA9,Unornamented,M,3,exact,GD5,M,2,exact,0,0
OPP208,2016-06-10,2016,8H 55M 0S,Allopreening,IA3,Unornamented,M,5,exact,EB7,F,2,exact,0,1
OPP209,2016-06-26,2016,9H 5M 0S,Allopreening,BE5,Unornamented,M,2,min,GD1,M,2,min,NA,NA
OPP210,2016-07-05,2016,15H 1M 0S,Allopreening,GG4,Unornamented,M,2,exact,DA1,F,3,exact,1,0
OPP211,2016-07-06,2016,15H 29M 0S,Allopreening,DA1,Unornamented,F,3,exact,FJ2,M,2,exact,0,1
OPP212,2016-07-06,2016,15H 29M 0S,Allopreening,FJ2,Unornamented,M,2,exact,GG4,M,2,exact,0,0
OPP213,2016-07-06,2016,15H 29M 0S,Allopreening,DA1,Unornamented,F,3,exact,GG4,M,2,exact,1,0
OPP214,2016-07-10,2016,8H 46M 0S,Allopreening,EG5,Unornamented,F,2,min,CH8,M,1,exact,0,0
OPP215,2016-07-20,2016,7H 25M 0S,Allopreening,GH1,Unornamented,M,4,exact,FC8,M,1,exact,0,0
OPP216,2016-07-20,2016,11H 4M 0S,Allopreening,HE3,Unornamented,F,2,exact,FA3,M,2,exact,0,0
OPP217,2016-07-08,2016,11H 45M 0S,Courtship,DI0,Ornamented,M,5,exact,AA0,M,1,exact,0,NA
OPP218,2016-07-10,2016,9H 21M 0S,Allopreening,FF7,Unornamented,F,3,exact,DG0,M,2,exact,NA,NA
OPP219,2016-07-13,2016,10H 20M 0S,Allopreening,FG3,Unornamented,M,1,exact,AA0,M,1,exact,0,NA
OPP220,2016-07-19,2016,9H 8M 0S,Allopreening,DA1,Unornamented,F,3,exact,JC3,M,3,exact,0,1
OPP221,2016-07-19,2016,11H 28M 0S,Allopreening,BJ5,Unornamented,M,3,exact,AA2,F,2,min,1,0
OPP222,2016-07-19,2016,11H 49M 0S,Allopreening,BJ4,Unornamented,M,2,exact,GF4,F,2,exact,0,0
