Observation_ID,Date,Year,Day_of_year,Time,Bird_ID,Observer,Sex,Plumage_score,Plumage_group,Age,Age_exact,Alarm_calling,Allopreening,Calling,Chasing,Chipping,Courtship,Flying,Foraging,Other,Preening,Scolding,Singing,Sitting,U,Vocalizing,Observation_time,Alarm_calling_prop,Allopreening_prop,Chasing_prop,Courtship_prop,Flying_prop,Foraging_prop,Other_prop,Preening_prop,Sitting_prop,Vocalizing_prop
DEG002,2016-07-01,2016,183,838,U07,DEG,M,100,BRIGHT,4,min,0,0,NA,0,NA,0,11,3,0,0,NA,NA,137,149,0,300,0,0,0,0,0.0728476821192053,0.019867549668874173,0,0,0.9072847682119205,0
TCH005,2016-07-04,2016,186,830,O10,TCH,M,0,DULL,2,exact,0,0,NA,0,NA,0,14,27,0,0,NA,NA,149,109,1,300,0,0,0,0,0.07329842931937172,0.14136125654450263,0,0,0.7801047120418848,0.005235602094240838
SMT043,2016-07-06,2016,188,1203,D01,SMT,M,0,DULL,2,exact,2,0,NA,0,NA,0,2,0,0,0,NA,NA,142,152,2,300,0.013513513513513514,0,0,0,0.013513513513513514,0,0,0,0.9594594594594594,0.013513513513513514
FFD048,2016-07-08,2016,190,937,N05,FFD,M,0,DULL,2,exact,0,0,NA,0,NA,0,9,101,0,1,NA,NA,7,180,2,300,0,0,0,0,0.075,0.8416666666666667,0,0.008333333333333333,0.058333333333333334,0.016666666666666666
FFD049,2016-07-08,2016,190,1140,G09,FFD,M,0,DULL,3,min,0,0,NA,0,NA,0,13,75,0,0,NA,NA,25,174,13,300,0,0,0,0,0.10317460317460317,0.5952380952380952,0,0,0.1984126984126984,0.10317460317460317
TCH041,2016-07-08,2016,190,743,Q02,TCH,M,0,DULL,2,exact,0,0,NA,0,NA,0,1,167,0,0,NA,NA,0,131,1,300,0,0,0,0,0.005917159763313609,0.9881656804733728,0,0,0,0.005917159763313609
TCH011,2016-07-08,2016,190,1157,A10,TCH,M,95,BRIGHT,3,exact,0,0,NA,0,NA,0,17,70,0,3,NA,NA,57,153,0,300,0,0,0,0,0.11564625850340136,0.47619047619047616,0,0.02040816326530612,0.3877551020408163,0
FFD051,2016-07-10,2016,192,644,U04,FFD,M,0,DULL,3,min,0,0,NA,0,NA,0,5,134,0,0,NA,NA,2,158,1,300,0,0,0,0,0.035211267605633804,0.9436619718309859,0,0,0.014084507042253521,0.007042253521126761
FFD054,2016-07-10,2016,192,1019,Z10,FFD,M,0,DULL,3,exact,0,0,NA,0,NA,0,3,278,0,0,NA,NA,15,1,3,300,0,0,0,0,0.010033444816053512,0.9297658862876255,0,0,0.05016722408026756,0.010033444816053512
SMT054,2016-07-10,2016,192,1224,V03,SMT,M,0,DULL,2,exact,0,0,NA,0,NA,0,6,228,0,0,NA,NA,48,16,2,300,0,0,0,0,0.02112676056338028,0.8028169014084507,0,0,0.16901408450704225,0.007042253521126761
FFD055,2016-07-10,2016,192,1051,X04,FFD,M,0,DULL,2,exact,0,0,NA,0,NA,0,10,80,0,1,NA,NA,47,151,11,300,0,0,0,0,0.06711409395973154,0.5369127516778524,0,0.006711409395973154,0.31543624161073824,0.0738255033557047
TCH014,2016-07-11,2016,193,1136,Y04,TCH,M,0,DULL,2,exact,0,0,NA,0,NA,0,5,135,0,0,NA,NA,2,157,1,300,0,0,0,0,0.03496503496503497,0.9440559440559441,0,0,0.013986013986013986,0.006993006993006993
FFD057,2016-07-11,2016,193,1301,I02,FFD,M,0,DULL,2,exact,0,0,NA,0,NA,0,3,240,0,0,NA,NA,6,51,0,300,0,0,0,0,0.012048192771084338,0.963855421686747,0,0,0.024096385542168676,0
FFD059,2016-07-11,2016,193,1455,T01,FFD,M,100,BRIGHT,3,exact,0,0,NA,0,NA,2,8,164,0,11,NA,NA,25,90,0,300,0,0,0,0.009523809523809525,0.0380952380952381,0.780952380952381,0,0.05238095238095238,0.11904761904761904,0
SMT066,2016-07-12,2016,194,1135,N05,SMT,M,0,DULL,2,exact,0,0,NA,0,NA,0,12,63,0,16,NA,NA,122,82,5,300,0,0,0,0,0.05504587155963303,0.2889908256880734,0,0.07339449541284404,0.5596330275229358,0.022935779816513763
FFD061,2016-07-12,2016,194,823,D08,FFD,M,20,DULL,4,exact,0,0,NA,0,NA,0,10,154,0,7,NA,NA,23,98,8,300,0,0,0,0,0.04950495049504951,0.7623762376237624,0,0.034653465346534656,0.11386138613861387,0.039603960396039604
FFD063,2016-07-12,2016,194,1023,J05,FFD,M,15,DULL,5,exact,0,0,NA,0,NA,0,6,74,0,0,NA,NA,40,176,4,300,0,0,0,0,0.04838709677419355,0.5967741935483871,0,0,0.3225806451612903,0.03225806451612903
FFD065,2016-07-12,2016,194,1134,L10,FFD,M,0,DULL,2,exact,0,0,NA,0,NA,0,3,96,0,0,NA,NA,51,150,0,300,0,0,0,0,0.02,0.64,0,0,0.34,0
SMT068,2016-07-13,2016,195,848,U04,SMT,M,0,DULL,3,min,0,0,NA,0,NA,0,11,14,0,9,NA,NA,213,53,0,300,0,0,0,0,0.044534412955465584,0.05668016194331984,0,0.03643724696356275,0.8623481781376519,0
SMT070,2016-07-13,2016,195,1110,J05,SMT,M,15,DULL,5,exact,4,0,NA,0,NA,0,12,84,0,9,NA,NA,143,30,18,300,0.014814814814814815,0,0,0,0.044444444444444446,0.3111111111111111,0,0.03333333333333333,0.5296296296296297,0.06666666666666667
FFD066,2016-07-13,2016,195,836,Q05,FFD,M,0,DULL,2,exact,0,0,NA,0,NA,0,3,208,0,0,NA,NA,0,89,0,300,0,0,0,0,0.014218009478672985,0.985781990521327,0,0,0,0
FFD068,2016-07-13,2016,195,1017,A01,FFD,M,0,DULL,2,exact,0,0,NA,0,NA,0,2,128,0,0,NA,NA,5,165,0,300,0,0,0,0,0.014814814814814815,0.9481481481481482,0,0,0.037037037037037035,0
FFD069,2016-07-13,2016,195,1102,P03,FFD,M,0,DULL,3,exact,0,0,NA,0,NA,0,2,176,0,0,NA,NA,1,121,0,300,0,0,0,0,0.0111731843575419,0.9832402234636871,0,0,0.00558659217877095,0
TCH017,2016-07-13,2016,195,1253,Q10,TCH,M,0,DULL,4,min,0,0,NA,0,NA,0,4,176,0,0,NA,NA,81,7,32,300,0,0,0,0,0.013651877133105802,0.6006825938566553,0,0,0.2764505119453925,0.10921501706484642
